"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:11 GMT 2022","35400","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:36 GMT 2022","79892","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:14:00 GMT 2022","103720","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:08 GMT 2022","32996","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:03 GMT 2022","46553","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"failed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:20:40 GMT 2022","503939","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:16 GMT 2022","40373","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:38 GMT 2022","21215","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","24","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:10 GMT 2022","34403","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:28 GMT 2022","71774","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:16:41 GMT 2022","264901","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","26","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:40 GMT 2022","4152","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:57 GMT 2022","21262","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:00 GMT 2022","24269","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"skipped","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:17 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:25:36 GMT 2022","480366","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:56 GMT 2022","20275","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:24 GMT 2022","67886","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"failed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:27:36 GMT 2022","600043","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:21 GMT 2022","64755","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:42 GMT 2022","25455","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:19 GMT 2022","43452","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","27","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:19 GMT 2022","2331","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"skipped","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:17 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:14:07 GMT 2022","110893","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:42 GMT 2022","25233","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:48 GMT 2022","31444","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:19:55 GMT 2022","139679","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:11 GMT 2022","35302","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","28","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:17:32 GMT 2022","315738","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","27","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:17 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:46 GMT 2022","89283","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:44 GMT 2022","27671","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","25","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:18:48 GMT 2022","72679","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:55 GMT 2022","38257","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:41 GMT 2022","84527","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","26","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:17 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:14 GMT 2022","57715","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:50 GMT 2022","33437","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","32","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","30","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:47 GMT 2022","30307","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:25:36 GMT 2022","480090","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:13:24 GMT 2022","67055","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Mon Jul 18 09:12:17 GMT 2022","Mon Jul 18 09:12:46 GMT 2022","29359","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"skipped","Mon Jul 18 09:17:36 GMT 2022","Mon Jul 18 09:17:36 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
