"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:45:58 GMT 2022","480729","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:39:36 GMT 2022","98844","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:41:27 GMT 2022","124687","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:45 GMT 2022","22702","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:45 GMT 2022","82234","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:40:54 GMT 2022","176148","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:45:59 GMT 2022","481521","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:55 GMT 2022","32821","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:43:32 GMT 2022","249149","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:06 GMT 2022","43865","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:28 GMT 2022","5963","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:44:11 GMT 2022","288033","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:23 GMT 2022","25590","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should fail to update backupCount [map, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:32 GMT 2022","34938","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:39:00 GMT 2022","62200","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:45:59 GMT 2022","481438","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"skipped","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:23 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:41 GMT 2022","78618","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:23 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:39:09 GMT 2022","71388","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:36 GMT 2022","73634","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ ready members status [hz, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:30 GMT 2022","7143","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:48:00 GMT 2022","517249","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:54 GMT 2022","31384","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:41:56 GMT 2022","153445","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:20 GMT 2022","57112","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:43:41 GMT 2022","258439","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:45:58 GMT 2022","480838","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:37:58 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:26 GMT 2022","63054","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:41:00 GMT 2022","97416","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using AWS S3 bucket [hz_persistence, slow]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:23 GMT 2022","25784","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:44 GMT 2022","21239","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:54 GMT 2022","31518","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:05 GMT 2022","42555","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should update the map correctly [map, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:11 GMT 2022","48230","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:28 GMT 2022","30890","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"failed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:50:12 GMT 2022","649768","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:37:58 GMT 2022","264","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:41:56 GMT 2022","153175","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:37:58 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:37 GMT 2022","74545","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:35 GMT 2022","37304","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:03 GMT 2022","5508","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:37:58 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:19 GMT 2022","21263","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:38 GMT 2022","40156","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:51 GMT 2022","28949","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:38:22 GMT 2022","24463","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:40:01 GMT 2022","38125","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"skipped","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:23 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:58 GMT 2022","35980","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Tue Jul 19 09:39:23 GMT 2022","Tue Jul 19 09:39:39 GMT 2022","16897","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:41:50 GMT 2022","232612","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Tue Jul 19 09:37:58 GMT 2022","Tue Jul 19 09:45:58 GMT 2022","480768","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using GCP bucket [hz_persistence, slow]",""
