"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:16:12 GMT 2022","123462","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:16:26 GMT 2022","132800","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:15:38 GMT 2022","89334","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center Default ManagementCenter CR Should create ManagementCenter resources [mc, fast]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:14:56 GMT 2022","42622","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:14:45 GMT 2022","31323","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:15:03 GMT 2022","54631","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:15:04 GMT 2022","50432","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:48 GMT 2022","39206","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:09 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[AfterSuite]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:18 GMT 2022","9386","","Operator Suite OS","","Operator Suite OS","","[SynchronizedBeforeSuite]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:15:15 GMT 2022","66295","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:15:04 GMT 2022","50603","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with correct default values [map, fast]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:15:03 GMT 2022","54127","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:18:44 GMT 2022","270391","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"skipped","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:09 GMT 2022","899","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:15:20 GMT 2022","71699","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:14:14 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[AfterSuite]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:15:02 GMT 2022","48165","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:36 GMT 2022","27732","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"skipped","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:14:14 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restore 10 GB data after planned shutdown [backup_slow, slow]",""
"skipped","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:09 GMT 2022","900","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:15:20 GMT 2022","66402","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"skipped","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:09 GMT 2022","0","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:09 GMT 2022","666","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast WAN should send data to another cluster [hz_wan, slow]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:14:44 GMT 2022","30339","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:10 GMT 2022","1011","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:15:41 GMT 2022","87326","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:50 GMT 2022","41710","","Operator Suite OS","","Operator Suite OS","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:15:10 GMT 2022","61726","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:17:08 GMT 2022","174197","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"passed","Fri Jul 15 09:14:14 GMT 2022","Fri Jul 15 09:16:17 GMT 2022","123676","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Fri Jul 15 09:14:09 GMT 2022","Fri Jul 15 09:14:50 GMT 2022","41007","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should fail when persistence of Map CR and Hazelcast CR do not match [map_persistence, fast]",""
