"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Jul 15 09:08:42 GMT 2022","Fri Jul 15 09:08:42 GMT 2022","115","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"passed","Fri Jul 15 09:09:17 GMT 2022","Fri Jul 15 09:11:34 GMT 2022","137169","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster and allow connecting with Hazelcast unisocket client [hz_expose_externally, slow]",""
"passed","Fri Jul 15 09:09:17 GMT 2022","Fri Jul 15 09:09:46 GMT 2022","29707","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config with Indexes [map, fast]",""
"passed","Fri Jul 15 09:09:17 GMT 2022","Fri Jul 15 09:09:38 GMT 2022","21112","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"skipped","Fri Jul 15 09:08:42 GMT 2022","Fri Jul 15 09:08:42 GMT 2022","63","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should keep the entries after a Hot Backup [map_persistence, slow]",""
"passed","Fri Jul 15 09:09:17 GMT 2022","Fri Jul 15 09:10:42 GMT 2022","85418","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"passed","Fri Jul 15 09:09:17 GMT 2022","Fri Jul 15 09:09:38 GMT 2022","21111","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"skipped","Fri Jul 15 09:08:42 GMT 2022","Fri Jul 15 09:08:42 GMT 2022","107","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"failed","Fri Jul 15 09:09:17 GMT 2022","Fri Jul 15 09:19:19 GMT 2022","602477","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration multiple nodes [hz_persistence, slow]",""
"passed","Fri Jul 15 09:08:42 GMT 2022","Fri Jul 15 09:09:08 GMT 2022","26480","","Operator Suite OS","","Operator Suite OS","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
