"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist the map successfully created configs into the configmap [map_persistence, fast]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should successfully start after one member restart [backup_slow, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center External API errors should be reflected to Management CR status [mc, fast]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with HostPath configuration single node [hz_persistence, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Backup should restart successfully after shutting down Hazelcast [backup_slow, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with LoadBalancer services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully trigger HotBackup [hz_persistence, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast External API errors should be reflected to Hazelcast CR status [hz, fast]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should enable persistence for members successfully [hz_persistence, fast]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should trigger ForceStart when restart from HotBackup failed [hz_persistence, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with expose externally feature should create Hazelcast cluster exposed with NodePort services and allow connecting with Hazelcast smart client [hz_expose_externally, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled Should successfully restore from external backup using Azure bucket [hz_persistence, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Default Hazelcast CR should create Hazelcast cluster [hz, fast]",""
"passed","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:14:09 GMT 2022","12844","","Operator Suite EE","","Operator Suite EE","","[SynchronizedBeforeSuite]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Management-Center ManagementCenter CR without Persistence Should create ManagementCenter resources and no PVC [mc, fast]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast CR with Persistence feature enabled should successfully restart from HotBackup data with PVC configuration [hz_persistence, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config should create Map Config [map, fast]",""
"failed","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:20:53 GMT 2022","416580","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data in active-passive mode on the different GKE clusters [hz_wan, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast cluster name should create a Hazelcust cluster with Cluster name: development [hz, fast]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should continue persisting last applied Map Config in case of failure [map_persistence, fast]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Map Config with Persistence should persist Map Config with Indexes [map_persistence, fast]",""
"failed","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:24:02 GMT 2022","605362","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data in active-active mode on the different GKE clusters [hz_wan, slow]",""
"failed","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:26:18 GMT 2022","741920","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast WAN should send data in active-passive mode on the same namespace [hz_wan, slow]",""
"skipped","Tue Jul 19 18:13:57 GMT 2022","Tue Jul 19 18:13:57 GMT 2022","0","","Operator Suite EE","","Operator Suite EE","","[It] Hazelcast Hazelcast member status should update HZ detailed member status [hz, fast]",""
